,FDO,NEM,MNST,VRTX,NFLX,ED,S&P 500,,,
,0.108174868,-0.101903802,0.070521015,0.017738824,0.016030878,-0.06488183,0.034581213,,,
,0.016573744,0.081491948,0.429842252,0.114113307,0.041896803,0.013374699,-0.000952803,,,
,0.100765341,0.146564108,0.014828343,0.081670342,-0.017582944,0.017198651,0.025147896,,,
,-0.034472007,0.146092632,0.108021608,0.25536199,0.017945914,0.014570616,0.000453055,,,
,0.071300523,-0.15512207,0.06118724,0.191055255,-0.027227584,-0.012008647,0.011034704,,,
,0.037766855,-0.017776247,0.300429913,-0.16699106,0.078176028,-0.0530503,0.012082366,,,
,-0.062035367,0.117504618,0.026693361,-0.006030748,0.022173824,-0.00877408,-0.031404929,,,
,-0.000800397,-0.112506531,0.356280817,-0.052784907,-0.068053393,0.035724222,8.66E-05,,,
,-0.01784759,0.016749842,0.029316673,0.062089846,-0.017486857,0.007680161,0.005072989,,,
,-0.072566398,-0.032645017,-0.034251119,-0.090906895,-0.273933976,0.053237869,0.021051057,,,
,0.118174231,0.000390348,-0.512784532,0.027366751,-0.032918766,-0.001764003,0.0242694,,,
,0.13779082,-0.179391854,0.164985022,-0.023495911,0.129151228,0,0.031021812,,,
,0.007156307,0.057275356,-0.02273179,0.187754902,0.194104324,0.045486392,0.016332552,,,
,-0.054425765,0.035586335,-0.121056103,0.087216637,0.056917397,0.009283942,0.012536867,,,
,0.054005437,-0.03612365,0.180067567,-0.168779387,-0.124207311,-0.003115614,0.013961131,,,
,0.099547557,-0.001108191,0.123047591,-0.056906932,-0.12549842,0.00435898,-0.022088337,,,
,-0.112242933,0,-0.084603719,-0.141361435,-0.012351194,0.018094694,0.009930512,,,
,0.026538166,-0.069128781,0.07907526,-0.090304803,0.028873396,0.049789491,0.042379843,,,
,0.072273527,-0.00693039,0.008412194,0.09193264,-0.044981171,0.003909255,0.032030724,,,
,0.055289737,-0.024764589,0.041031397,-0.027706258,-0.012253387,-0.037326211,-0.017976944,,,
,0.023132398,-0.03822107,0.076867979,-0.045851378,-0.121729219,-0.078814422,-0.032504471,,,
,-0.147278419,0.066600579,-0.058199111,0.123060097,-0.118105367,-0.03243525,0.012781539,,,
,-0.011545135,0.012141489,0.102124707,0.187468254,0.016691035,0.062749812,0.03516829,,,
,-0.093460784,0.059172617,0.232760928,-0.014217611,0.169203161,0.007805729,0.014713561,,,
,-0.046627631,0.129218534,0.18208629,-0.172012988,0.243465732,0.016918683,-0.045042782,,,
,-0.073652957,-0.024059329,-0.448817876,-0.241949498,-0.136179361,0.040851842,-0.00866595,,,
,-0.196637105,-0.015442574,0.020069089,-0.08891081,0.141830233,0.008222057,-0.063113864,,,
,0.089953803,0.105258087,-0.138543396,-0.131872306,-0.056804954,-0.114385524,-0.03537974,,,
,-0.094122734,-0.058449692,0.073477906,-0.15137136,0.227666112,-0.049902951,-0.005977453,,,
,0.024565868,-0.119852351,-0.161810463,0.311259039,0.092773775,-0.029534324,0.046450952,,,
,0.092976431,-0.024355982,0.00254633,0.066002539,-0.080187076,0.046748871,0.010617615,,,
,0,0.072410088,-0.124729969,0.114992626,-0.051984722,0.006805692,-0.089883554,,,
,-0.064729835,0.095084726,-0.080629734,0.156194461,-0.152340758,-0.0549958,-0.009908297,,,
,0.155725605,-0.08394864,-0.231680932,0.030309779,0.169647247,0.015484581,0.012116759,,,
,0.067217367,-0.061485081,0.184069809,-0.250321096,-0.001619926,0.043975489,-0.095180765,,,
,-0.045548297,-0.149161271,0.096037717,0.213115802,0.001296144,0.049139309,-0.185636474,,,
,0.12702285,-0.38630008,-0.177901587,-0.237613051,-0.220879245,0.008345048,-0.077798358,,,
,0.031818438,0.244924368,0.161234535,-0.063801123,-0.074605175,-0.056082611,0.007791147,,,
,-0.05826302,0.193319622,0.119611369,0.211444608,0.26289967,-0.036817093,-0.089549879,,,
,0.063171061,-0.022863855,-0.000895062,0.084237072,0.189876315,0.045690671,-0.116456513,,,
,-0.011954464,0.04545688,-0.006588883,-0.092168376,0.002763279,-0.103331516,0.081952693,,,
,0.199977868,0.075081086,0.078562383,-0.047911287,0.169174335,0.089746389,0.089772219,,,
,-0.00540869,-0.10645324,0.124182221,0.070221957,0.05418991,-0.06465638,0.051720577,,,
,-0.09209141,0.194302025,-0.105469512,-0.034662655,-0.13925453,-0.030195584,0.000195807,,,
,-0.062885419,-0.1767043,-0.1727708,0.18918411,0.047557303,0.053800021,0.071521949,,,
,0.104582822,0.011676196,0.004848886,0.001111337,0.06099449,0.05054478,0.033009337,,,
,-0.036957139,-0.028454276,0.051841354,0.038141426,-0.007080034,0.035492235,0.035100067,,,
,-0.132259053,0.093306418,0.117715047,0.013013116,0.056585183,0.018489355,-0.019959881,,,
,0.069497849,-0.012803128,-0.01618913,-0.121616253,0.146416463,-0.006370913,0.055779077,,,
,0.075192725,0.210454084,-0.033186396,0.145600666,0.092499872,0.067361133,0.017614521,,,
,-0.087091257,-0.12373943,0.093566903,0.098770021,-0.062278317,0.057067845,-0.037675124,,,
,0.103994123,-0.098782743,0.001301184,-0.109648087,0.122190324,-0.03790961,0.02811474,,,
,0.066095838,0.139579294,0.078260635,0.054231654,0.059253541,-0.00901531,0.057132816,,,
,0.108476756,0.034890077,0.042379221,0.008107107,0.110133289,0.041018502,0.014651372,,,
